"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 20 14:13:45 EET 2024","Wed Nov 20 14:13:47 EET 2024","1596","API_Suite","Emeis Backend","api_testing.ApplicationManagementTests","api_testing.ApplicationManagementTests","testDeletingAnExistingApplication","testDeletingAnExistingApplication",""
"passed","Wed Nov 20 14:13:47 EET 2024","Wed Nov 20 14:13:49 EET 2024","2136","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testDeletingUserRoles","testDeletingUserRoles",""
"passed","Wed Nov 20 14:13:49 EET 2024","Wed Nov 20 14:13:50 EET 2024","1460","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testUnassigningGroupToUser","testUnassigningGroupToUser",""
"passed","Wed Nov 20 14:14:03 EET 2024","Wed Nov 20 14:14:04 EET 2024","1254","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testDeletingAnExistingUser","testDeletingAnExistingUser",""
"passed","Wed Nov 20 14:13:29 EET 2024","Wed Nov 20 14:13:30 EET 2024","563","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testAssignRoleToUser","testAssignRoleToUser",""
"passed","Wed Nov 20 14:14:04 EET 2024","Wed Nov 20 14:14:07 EET 2024","2631","API_Suite","Emeis Backend Tests","api_testing.GroupManagementTests","api_testing.GroupManagementTests","testDeleteAnExistingGroup","testDeleteAnExistingGroup",""
"passed","Wed Nov 20 14:13:35 EET 2024","Wed Nov 20 14:13:37 EET 2024","2857","API_Suite","Emeis Backend","api_testing.ApplicationManagementTests","api_testing.ApplicationManagementTests","testGettingAllApplications","testGettingAllApplications",""
"passed","Wed Nov 20 14:13:33 EET 2024","Wed Nov 20 14:13:33 EET 2024","21","API_Suite","Emeis Backend","api_testing.CategoryManagementTests","api_testing.CategoryManagementTests","testCreatingNewCategory","testCreatingNewCategory",""
"passed","Wed Nov 20 14:13:27 EET 2024","Wed Nov 20 14:13:27 EET 2024","201","API_Suite","Emeis Backend","api_testing.RoleManagementTests","api_testing.RoleManagementTests","testCreatingNewRole","testCreatingNewRole",""
"passed","Wed Nov 20 14:13:37 EET 2024","Wed Nov 20 14:13:37 EET 2024","831","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testGettingUserRoles","testGettingUserRoles",""
"passed","Wed Nov 20 14:13:35 EET 2024","Wed Nov 20 14:13:36 EET 2024","760","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testGettingSpecificUser","testGettingSpecificUser",""
"passed","Wed Nov 20 14:13:37 EET 2024","Wed Nov 20 14:13:38 EET 2024","615","API_Suite","Emeis Backend","api_testing.ApplicationManagementTests","api_testing.ApplicationManagementTests","testGettingSpecificApplication","testGettingSpecificApplication",""
"passed","Wed Nov 20 14:13:25 EET 2024","Wed Nov 20 14:13:28 EET 2024","2736","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testAddingUserToGroups","testAddingUserToGroups",""
"passed","Wed Nov 20 14:13:58 EET 2024","Wed Nov 20 14:14:00 EET 2024","2289","API_Suite","Emeis Backend Tests","api_testing.GroupManagementTests","api_testing.GroupManagementTests","testAssigningRoleToGroup","testAssigningRoleToGroup",""
"passed","Wed Nov 20 14:13:38 EET 2024","Wed Nov 20 14:13:39 EET 2024","629","API_Suite","Emeis Backend","api_testing.CategoryManagementTests","api_testing.CategoryManagementTests","testUpdatingAnExistingCategory","testUpdatingAnExistingCategory",""
"passed","Wed Nov 20 14:14:00 EET 2024","Wed Nov 20 14:14:03 EET 2024","2672","API_Suite","Emeis Backend Tests","api_testing.GroupManagementTests","api_testing.GroupManagementTests","testDeletingGroupRoles","testDeletingGroupRoles",""
"passed","Wed Nov 20 14:13:40 EET 2024","Wed Nov 20 14:13:43 EET 2024","3724","API_Suite","Emeis Backend","api_testing.RoleManagementTests","api_testing.RoleManagementTests","testDeletingAnExistingRole","testDeletingAnExistingRole",""
"passed","Wed Nov 20 14:13:36 EET 2024","Wed Nov 20 14:13:37 EET 2024","737","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testGettingUserGroups","testGettingUserGroups",""
"passed","Wed Nov 20 14:13:46 EET 2024","Wed Nov 20 14:13:47 EET 2024","983","API_Suite","Emeis Backend Tests","api_testing.GroupManagementTests","api_testing.GroupManagementTests","updateAnExistingGroup","updateAnExistingGroup",""
"passed","Wed Nov 20 14:13:30 EET 2024","Wed Nov 20 14:13:35 EET 2024","5428","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testGettingAllUsers","testGettingAllUsers",""
"passed","Wed Nov 20 14:13:35 EET 2024","Wed Nov 20 14:13:35 EET 2024","22","API_Suite","Emeis Backend","api_testing.ApplicationManagementTests","api_testing.ApplicationManagementTests","testCreatingNewApplication","testCreatingNewApplication",""
"unknown","Wed Nov 20 14:13:11 EET 2024","Wed Nov 20 14:13:11 EET 2024","14","API_Suite","Emeis Backend","api_testing.RoleManagementTests","api_testing.RoleManagementTests","testAssigningMultipleUsersToRole","testAssigningMultipleUsersToRole",""
"passed","Wed Nov 20 14:13:30 EET 2024","Wed Nov 20 14:13:30 EET 2024","954","API_Suite","Emeis Backend","api_testing.RoleManagementTests","api_testing.RoleManagementTests","testGettingSpecificRole","testGettingSpecificRole",""
"passed","Wed Nov 20 14:13:50 EET 2024","Wed Nov 20 14:13:58 EET 2024","7667","API_Suite","Emeis Backend Tests","api_testing.GroupManagementTests","api_testing.GroupManagementTests","testAssigningMultipleUsersToGroup","testAssigningMultipleUsersToGroup",""
"passed","Wed Nov 20 14:13:28 EET 2024","Wed Nov 20 14:13:29 EET 2024","920","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testAssignMultipleRolesToUser","testAssignMultipleRolesToUser",""
"passed","Wed Nov 20 14:13:33 EET 2024","Wed Nov 20 14:13:34 EET 2024","913","API_Suite","Emeis Backend","api_testing.CategoryManagementTests","api_testing.CategoryManagementTests","testGettingAllCategories","testGettingAllCategories",""
"passed","Wed Nov 20 14:13:41 EET 2024","Wed Nov 20 14:13:43 EET 2024","1591","API_Suite","Emeis Backend Tests","api_testing.GroupManagementTests","api_testing.GroupManagementTests","testCreatingNewChildGroup","testCreatingNewChildGroup",""
"passed","Wed Nov 20 14:13:37 EET 2024","Wed Nov 20 14:13:38 EET 2024","734","API_Suite","Emeis Backend Tests","api_testing.UserManagementTests","api_testing.UserManagementTests","testUpdatingAnExistingUser","testUpdatingAnExistingUser",""
"passed","Wed Nov 20 14:13:45 EET 2024","Wed Nov 20 14:13:46 EET 2024","755","API_Suite","Emeis Backend Tests","api_testing.GroupManagementTests","api_testing.GroupManagementTests","testMoveGroupToAnotherParentGroup","testMoveGroupToAnotherParentGroup",""
"passed","Wed Nov 20 14:13:27 EET 2024","Wed Nov 20 14:13:30 EET 2024","2778","API_Suite","Emeis Backend","api_testing.RoleManagementTests","api_testing.RoleManagementTests","testGettingAllRoles","testGettingAllRoles",""
"passed","Wed Nov 20 14:13:43 EET 2024","Wed Nov 20 14:13:45 EET 2024","1795","API_Suite","Emeis Backend","api_testing.CategoryManagementTests","api_testing.CategoryManagementTests","testDeletingAnExistingCategory","testDeletingAnExistingCategory",""
"passed","Wed Nov 20 14:13:31 EET 2024","Wed Nov 20 14:13:32 EET 2024","990","API_Suite","Emeis Backend","api_testing.RoleManagementTests","api_testing.RoleManagementTests","testUpdatingAnExistingRole","testUpdatingAnExistingRole",""
"passed","Wed Nov 20 14:13:39 EET 2024","Wed Nov 20 14:13:39 EET 2024","742","API_Suite","Emeis Backend","api_testing.ApplicationManagementTests","api_testing.ApplicationManagementTests","testUpdatingAnExistingApplication","testUpdatingAnExistingApplication",""
"passed","Wed Nov 20 14:13:43 EET 2024","Wed Nov 20 14:13:44 EET 2024","729","API_Suite","Emeis Backend Tests","api_testing.GroupManagementTests","api_testing.GroupManagementTests","testGetSpecificGroup","testGetSpecificGroup",""
"passed","Wed Nov 20 14:13:44 EET 2024","Wed Nov 20 14:13:45 EET 2024","1333","API_Suite","Emeis Backend Tests","api_testing.GroupManagementTests","api_testing.GroupManagementTests","testGettingAllGroups","testGettingAllGroups",""
